0_0,0_1,0_2,0_3,0_4,1_0,1_1,1_2,1_3,1_4,2_0,2_1,2_2,2_3,2_4,3_0,3_1,3_2,3_3,3_4,4_0,4_1,4_2,4_3,4_4
76,0.1,0.11,0.1,0.1,0.13,0.1,0.12,0.13,0.11,0.11,0.1,0.12,0.24,0.14,0.14,0.12,0.13,0.16,0.14,0.1,0.12,0.11,0.09,0.12,0.12
77,0.1,0.11,0.1,0.1,0.13,0.1,0.12,0.12,0.11,0.11,0.1,0.12,0.24,0.14,0.14,0.12,0.13,0.16,0.14,0.1,0.12,0.11,0.11,0.12,0.12
78,0.1,0.11,0.1,0.11,0.12,0.1,0.12,0.12,0.11,0.11,0.1,0.12,0.23,0.14,0.14,0.12,0.13,0.16,0.14,0.1,0.12,0.11,0.11,0.12,0.12
79,0.1,0.11,0.1,0.11,0.12,0.1,0.12,0.12,0.11,0.11,0.1,0.12,0.23,0.14,0.14,0.12,0.12,0.16,0.14,0.1,0.12,0.12,0.1,0.12,0.12
80,0.1,0.11,0.1,0.11,0.12,0.1,0.12,0.12,0.11,0.11,0.1,0.12,0.23,0.14,0.14,0.12,0.12,0.16,0.14,0.1,0.12,0.12,0.1,0.11,0.12
81,0.1,0.11,0.1,0.11,0.12,0.1,0.12,0.12,0.11,0.11,0.1,0.12,0.23,0.14,0.15,0.12,0.12,0.16,0.14,0.1,0.12,0.13,0.1,0.11,0.12
82,0.1,0.11,0.1,0.11,0.12,0.1,0.12,0.12,0.11,0.11,0.1,0.12,0.23,0.14,0.15,0.12,0.12,0.16,0.14,0.1,0.12,0.13,0.1,0.11,0.12
83,0.1,0.12,0.1,0.11,0.12,0.1,0.12,0.12,0.11,0.11,0.1,0.12,0.23,0.14,0.15,0.12,0.12,0.16,0.14,0.1,0.12,0.13,0.1,0.11,0.12
84,0.1,0.12,0.1,0.11,0.12,0.1,0.13,0.12,0.11,0.11,0.1,0.12,0.23,0.14,0.15,0.13,0.12,0.16,0.14,0.1,0.12,0.13,0.1,0.11,0.12
85,0.1,0.12,0.1,0.11,0.12,0.1,0.13,0.12,0.11,0.11,0.1,0.12,0.23,0.14,0.15,0.12,0.12,0.16,0.14,0.1,0.12,0.13,0.1,0.11,0.12
86,0.1,0.12,0.1,0.12,0.12,0.1,0.13,0.12,0.11,0.11,0.1,0.12,0.23,0.14,0.15,0.12,0.12,0.16,0.14,0.1,0.12,0.14,0.1,0.11,0.12
87,0.1,0.12,0.1,0.12,0.12,0.1,0.13,0.12,0.11,0.11,0.1,0.12,0.22,0.15,0.15,0.12,0.12,0.16,0.14,0.09,0.12,0.14,0.1,0.11,0.13
88,0.1,0.12,0.1,0.12,0.12,0.1,0.13,0.13,0.11,0.11,0.1,0.12,0.21,0.15,0.15,0.12,0.12,0.16,0.14,0.09,0.12,0.14,0.1,0.11,0.13
89,0.1,0.12,0.1,0.12,0.12,0.1,0.13,0.13,0.12,0.11,0.1,0.12,0.21,0.15,0.15,0.12,0.12,0.16,0.14,0.09,0.12,0.14,0.1,0.11,0.13
90,0.1,0.12,0.1,0.12,0.12,0.1,0.13,0.13,0.12,0.11,0.1,0.12,0.21,0.15,0.15,0.12,0.12,0.16,0.14,0.09,0.12,0.14,0.1,0.11,0.13
91,0.1,0.12,0.1,0.12,0.12,0.1,0.13,0.13,0.12,0.11,0.1,0.12,0.21,0.15,0.15,0.12,0.12,0.16,0.15,0.09,0.12,0.14,0.1,0.11,0.13
92,0.1,0.12,0.1,0.12,0.12,0.11,0.13,0.13,0.12,0.11,0.1,0.12,0.2,0.15,0.15,0.12,0.12,0.16,0.15,0.09,0.13,0.14,0.1,0.11,0.14
93,0.1,0.12,0.1,0.12,0.12,0.11,0.13,0.13,0.12,0.12,0.11,0.11,0.2,0.15,0.14,0.13,0.12,0.16,0.15,0.09,0.13,0.14,0.1,0.11,0.14
94,0.1,0.12,0.1,0.12,0.12,0.11,0.13,0.13,0.12,0.12,0.11,0.11,0.2,0.15,0.14,0.13,0.12,0.16,0.15,0.09,0.13,0.14,0.1,0.11,0.14
95,0.1,0.12,0.1,0.11,0.12,0.11,0.13,0.13,0.12,0.12,0.11,0.11,0.2,0.15,0.14,0.13,0.12,0.16,0.15,0.09,0.13,0.14,0.1,0.11,0.14
96,0.1,0.12,0.1,0.11,0.12,0.11,0.13,0.13,0.12,0.12,0.1,0.11,0.2,0.15,0.14,0.13,0.12,0.16,0.15,0.09,0.13,0.14,0.1,0.11,0.14
97,0.1,0.12,0.1,0.11,0.12,0.11,0.13,0.13,0.12,0.12,0.1,0.11,0.2,0.15,0.14,0.13,0.12,0.16,0.15,0.09,0.13,0.14,0.1,0.11,0.14
98,0.1,0.12,0.1,0.11,0.12,0.11,0.13,0.13,0.12,0.12,0.1,0.11,0.2,0.15,0.14,0.13,0.12,0.16,0.16,0.09,0.13,0.14,0.1,0.11,0.14
99,0.1,0.12,0.1,0.11,0.12,0.11,0.13,0.13,0.12,0.12,0.1,0.11,0.2,0.15,0.14,0.13,0.13,0.15,0.16,0.09,0.13,0.14,0.1,0.11,0.14
100,0.1,0.12,0.1,0.11,0.12,0.11,0.13,0.13,0.12,0.12,0.1,0.11,0.2,0.15,0.14,0.13,0.13,0.15,0.16,0.09,0.13,0.14,0.1,0.11,0.14
101,0.1,0.12,0.1,0.11,0.12,0.11,0.13,0.13,0.12,0.12,0.1,0.11,0.2,0.15,0.14,0.13,0.13,0.15,0.15,0.1,0.13,0.13,0.11,0.12,0.14
